Country,Num_Confirmed,Num_Deaths,GDP_Per_Capita,Country_Abbr,Continent,Death_Rate
Belgium,44293,6679,47519,Be,Europe,15.1
France,159952,22279,41464,Fr,Europe,13.9
Italy,192994,25969,34483,It,Europe,13.5
United Kingdom,144640,19567,42944,UK,Europe,13.5
Sweden,17567,2152,54608,Sw,Europe,12.3
Netherlands,36729,4304,53024,Du,Europe,11.7
Spain,219764,22524,30371,Sp,Europe,10.2
Mexico,11633,1069,9673,Mx,Americas,9.2
Brazil,54043,3704,8921,Br,Americas,6.9
Iran,88194,5574,5628,Ir,Middle East,6.3
China,82864,4632,9771,Cn,Asia Pacific,5.6
Ireland,18184,1014,78806,Ir,Europe,5.6
Switzerland,28677,1589,82797,Sz,Europe,5.5
Canada,44054,2384,46233,Ca,Americas,5.4
Romania,10417,567,12301,Ro,Europe,5.4
Poland,10892,494,15421,Po,Europe,4.5
Germany,154999,5760,47603,GE,Europe,3.7
Portugal,22797,854,23408,Pg,Europe,3.7
Austria,15071,530,51462,As,Europe,3.5
India,24530,780,2010,In,Asia Pacific,3.2
Peru,21648,634,6941,Pe,Americas,2.9
United States,905358,25870,62795,US,Americas,2.9
Japan,12829,345,39290,Jp,Japan,2.7
Ecuador,22719,576,6345,Ec,Americas,2.5
Turkey,104912,2600,9370,Tu,Europe,2.5
South Korea,10718,240,31363,Sk,Asia Pacific,2.2
Pakistan,11940,253,1482,Pk,Asia Pacific,2.1
Chile,12306,174,15923,Ch,Americas,1.4
Israel,15058,194,41715,Is,Middle East,1.3
Russia,68622,615,11289,Ru,Europe,0.9
Saudi Arabia,15102,127,23339,Sb,Middle East,0.8
Singapore,12075,12,64582,Sg,Asia Pacific,0.1
